"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
23348217,-60,39,"Fundacion Oceanografic","Caretta caretta;Lepidochelys kempii","2133","2009-04-03","2014-06-10",2,2,2,,,,"7306:380","POLYGON((-60 38,-61 38,-61 39,-60 39,-60 38))"
23523395,-60,40,"Fundacion Oceanografic;Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta","1018;2133;410","2008-01-31","2015-04-30",29,5,1,,,,"7306:390","POLYGON((-60 39,-61 39,-61 40,-60 40,-60 39))"
23525905,-60,41,"Fundacion Oceanografic;Virginia Aquarium & Marine Science Center Foundation","Caretta caretta;Chelonia mydas","1018;2133","2008-01-14","2015-05-12",32,3,2,,,,"7406:100","POLYGON((-60 40,-61 40,-61 41,-60 41,-60 40))"
23464267,-60,42,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Chelonia mydas","2133;410","2008-01-12","2014-06-20",5,3,2,,,,"7406:110","POLYGON((-60 41,-61 41,-61 42,-60 42,-60 41))"
6398235,-59,-39,"Diego Albareda-PRICTMA","Chelonia mydas","441","2008-04-28","2009-02-01",59,3,1,,,,"5305:489","POLYGON((-59 -38,-59 -39,-60 -39,-60 -38,-59 -38))"
24547050,-59,-36,"Projeto TAMAR","Dermochelys coriacea","984","2006-04-18","2006-04-18",1,1,1,,,,"5305:459","POLYGON((-59 -35,-59 -36,-60 -36,-60 -35,-59 -35))"
24546894,-60,-21,"Projeto TAMAR","Eretmochelys imbricata","984","2005-04-11","2005-04-11",1,1,1,,,,"5205:209","POLYGON((-59 -20,-59 -21,-60 -21,-60 -20,-59 -20))"
24546590,-59,-16,"Projeto TAMAR","Lepidochelys olivacea","984","2006-02-07","2006-02-07",1,1,1,,,,"5105:459","POLYGON((-59 -15,-59 -16,-60 -16,-60 -15,-59 -15))"
24545033,-60,-8,"Projeto TAMAR","Caretta caretta","984","2007-08-20","2007-08-20",1,1,1,,,,"5005:479","POLYGON((-59 -7,-59 -8,-60 -8,-60 -7,-59 -7))"
24545031,-59,-7,"Projeto TAMAR","Caretta caretta","984","2007-02-20","2007-02-20",1,1,1,,,,"5005:469","POLYGON((-59 -6,-59 -7,-60 -7,-60 -6,-59 -6))"
24547136,-59,1,"Projeto TAMAR","Lepidochelys olivacea","984","2006-04-30","2006-04-30",1,1,1,,,,"7005:219","POLYGON((-59 1,-60 1,-60 2,-59 2,-59 1))"
24547137,-59,3,"Projeto TAMAR","Eretmochelys imbricata","984","2005-05-26","2005-05-26",1,1,1,,,,"7005:229","POLYGON((-59 2,-60 2,-60 3,-59 3,-59 2))"
23102848,-59,14,"Cayman Islands Department of Environment;Observatorio Ambiental Granadilla","Caretta caretta;Chelonia mydas","350;496","2004-09-12","2010-03-28",2,2,2,,,,"7105:249","POLYGON((-59 14,-60 14,-60 15,-59 15,-59 14))"
23212358,-59,16,"Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;890","2011-05-04","2014-06-22",35,4,1,,,,"7105:459","POLYGON((-59 15,-60 15,-60 16,-59 16,-59 15))"
23250902,-59,17,"DomSeTCO/Oceans Forward;Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;1386;890","2011-06-08","2016-06-19",164,9,1,,,,"7105:469","POLYGON((-59 16,-60 16,-60 17,-59 17,-59 16))"
23250910,-59,18,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-06-13","2016-06-12",23,6,1,,,,"7105:479","POLYGON((-59 17,-60 17,-60 18,-59 18,-59 17))"
23165640,-59,18,"Jacob Levenson","Dermochelys coriacea","890","2011-06-26","2011-06-26",1,1,1,,,,"7105:489","POLYGON((-59 18,-60 18,-60 19,-59 19,-59 18))"
23541397,-59,27,"CRAM-UPV","Caretta caretta","1401","2017-10-19","2017-10-22",4,1,1,,,,"7205:479","POLYGON((-59 27,-60 27,-60 28,-59 28,-59 27))"
23309721,-59,32,"ADS Biodiversidad","Caretta caretta","1801","2018-10-21","2018-10-22",9,1,1,,,,"7305:219","POLYGON((-59 31,-60 31,-60 32,-59 32,-59 31))"
23461491,-59,34,"Virginia Aquarium Stranding Response Program","Caretta caretta","410","2014-04-18","2014-04-19",26,1,1,,,,"7305:249","POLYGON((-59 34,-60 34,-60 35,-59 35,-59 34))"
23461509,-59,36,"Virginia Aquarium Stranding Response Program","Caretta caretta","410","2014-04-30","2014-05-01",21,1,1,,,,"7305:459","POLYGON((-59 35,-60 35,-60 36,-59 36,-59 35))"
23461520,-59,37,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Chelonia mydas","2133;410","2012-05-06","2014-04-05",36,2,2,,,,"7305:469","POLYGON((-59 36,-60 36,-60 37,-59 37,-59 36))"
23348135,-60,39,"Fundacion Oceanografic","Lepidochelys kempii","2133","2009-04-04","2009-04-04",1,1,1,,,,"7305:489","POLYGON((-59 38,-60 38,-60 39,-59 39,-59 38))"
23461555,-59,40,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta;Lepidochelys kempii","2133;410","2008-02-01","2014-06-30",22,5,2,,,,"7305:499","POLYGON((-59 39,-60 39,-60 40,-59 40,-59 39))"
23525896,-59,41,"Fundacion Oceanografic;Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta","1018;2133;410","2008-02-03","2015-05-14",23,4,1,,,,"7405:209","POLYGON((-59 40,-60 40,-60 41,-59 41,-59 40))"
23464262,-59,42,"Fundacion Oceanografic;Virginia Aquarium Stranding Response Program","Caretta caretta","2133;410","2012-11-11","2014-07-07",72,2,1,,,,"7405:219","POLYGON((-59 41,-60 41,-60 42,-59 42,-59 41))"
23350158,-59,42,"Fundacion Oceanografic","Caretta caretta","2133","2014-07-08","2014-07-09",2,1,1,,,,"7405:229","POLYGON((-59 42,-60 42,-60 43,-59 43,-59 42))"
6380907,-59,58,"Fondazione Cetacea","Caretta caretta","982","2006-09-12","2006-09-12",1,1,1,,,,"7505:489","POLYGON((-59 58,-60 58,-60 59,-59 59,-59 58))"
6398205,-58,-38,"Diego Albareda-PRICTMA","Chelonia mydas","441","2008-04-28","2009-02-06",21,3,1,,,,"5305:488","POLYGON((-58 -38,-58 -39,-59 -39,-59 -38,-58 -38))"
24546592,-58,-17,"Projeto TAMAR","Caretta caretta","984","2007-12-14","2007-12-14",1,1,1,,,,"5105:478","POLYGON((-58 -17,-58 -18,-59 -18,-59 -17,-58 -17))"
24545032,-58,-7,"Projeto TAMAR","Eretmochelys imbricata","984","2005-10-26","2005-10-26",1,1,1,,,,"5005:478","POLYGON((-58 -7,-58 -8,-59 -8,-59 -7,-58 -7))"
23102847,-58,15,"Observatorio Ambiental Granadilla","Caretta caretta","496","2010-03-26","2010-03-26",1,1,1,,,,"7105:248","POLYGON((-58 14,-59 14,-59 15,-58 15,-58 14))"
23212352,-58,16,"Jake Levenson;Observatorio Ambiental Granadilla","Caretta caretta;Dermochelys coriacea","1174;496","2010-03-26","2014-06-23",18,2,2,,,,"7105:458","POLYGON((-58 15,-59 15,-59 16,-58 16,-58 15))"
23250898,-58,17,"DomSeTCO/Oceans Forward;Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;1386;890","2011-06-13","2016-06-20",22,4,1,,,,"7105:468","POLYGON((-58 16,-59 16,-59 17,-58 17,-58 16))"
23250908,-58,18,"DomSeTCO/Oceans Forward;Jacob Levenson;Jake Levenson","Dermochelys coriacea","1174;1386;890","2011-06-11","2016-06-14",97,8,1,,,,"7105:478","POLYGON((-58 17,-59 17,-59 18,-58 18,-58 17))"
23250914,-58,19,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-06-15","2016-06-17",57,5,1,,,,"7105:488","POLYGON((-58 18,-59 18,-59 19,-58 19,-58 18))"
23250917,-58,20,"DomSeTCO/Oceans Forward;Jacob Levenson","Dermochelys coriacea","1386;890","2011-06-25","2016-06-19",15,3,1,,,,"7105:498","POLYGON((-58 19,-59 19,-59 20,-58 20,-58 19))"
23169274,-58,20,"Cayman Islands Department of Environment;Jacob Levenson","Caretta caretta;Dermochelys coriacea","350;890","2004-12-07","2011-06-29",4,2,2,,,,"7205:208","POLYGON((-58 20,-59 20,-59 21,-58 21,-58 20))"
23541392,-58,27,"CRAM-UPV","Caretta caretta","1401","2017-10-16","2017-10-16",1,1,1,,,,"7205:468","POLYGON((-58 26,-59 26,-59 27,-58 27,-58 26))"
23541393,-59,27,"CRAM-UPV","Caretta caretta","1401","2017-10-18","2017-10-18",1,1,1,,,,"7205:478","POLYGON((-58 27,-59 27,-59 28,-58 28,-58 27))"
23309719,-58,32,"ADS Biodiversidad","Caretta caretta","1801","2018-10-18","2018-10-20",9,1,1,,,,"7305:218","POLYGON((-58 31,-59 31,-59 32,-58 32,-58 31))"
23461483,-58,34,"Virginia Aquarium Stranding Response Program","Caretta caretta","410","2014-04-20","2014-04-21",30,1,1,,,,"7305:238","POLYGON((-58 33,-59 33,-59 34,-58 34,-58 33))"
23523281,-58,35,"Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta","1018;410","2014-04-21","2015-09-09",60,2,1,,,,"7305:248","POLYGON((-58 34,-59 34,-59 35,-58 35,-58 34))"
